"ME";"RMSE";"MAE";"MPE";"MAPE";"Name";"Mean Zeit";"Warmmiete";"train_test";"Durchlaeufe";"Konvergiert"
35,6;481;226;-2,1;15,4;"c(1)";3,4;TRUE;"Train";50;50
34,2;471;221;-2,1;15,1;"c(2)";4,1;TRUE;"Train";50;33
24,9;392;191;-1,9;13,3;"c(3)";8;TRUE;"Train";50;33
26,2;387;180;-1,8;12,4;"c(4,1)";9,7;TRUE;"Train";20;14
23,1;370;181;-1,8;12,6;"c(4,2)";14,1;TRUE;"Train";20;11
19,8;354;179;-1,9;12,7;"c(4,3)";12,1;TRUE;"Train";20;14
21,7;406;213;-2,6;15,5;"c(1)";3,4;TRUE;"Test";50;50
18,8;388;207;-2,7;15,1;"c(2)";4,1;TRUE;"Test";50;33
1,9;342;190;-3;14,3;"c(3)";8;TRUE;"Test";50;33
8,6;379;189;-3,1;14;"c(4,1)";9,7;TRUE;"Test";20;14
-1,9;363;192;-3,6;14,4;"c(4,2)";14,1;TRUE;"Test";20;11
1,9;340;188;-3,1;14,2;"c(4,3)";12,1;TRUE;"Test";20;14
31,5;422;201;-2,9;17,7;"c(1)";3,4;FALSE;"Train";50;50
33,1;422;197;-2,8;17,3;"c(2)";4,1;FALSE;"Train";50;33
21,1;345;170;-2,5;15,3;"c(3)";8;FALSE;"Train";50;33
21,5;332;159;-2,4;14,2;"c(4,1)";9,7;FALSE;"Train";50;14
19,7;323;162;-2,6;14,6;"c(4,2)";14,1;FALSE;"Train";50;11
17,1;310,5;160,1;-2,4;14,7;"c(4,3)";12,1;FALSE;"Train";50;14
20,8;350,4;190,7;-3,3;17,9;"c(1)";3,4;FALSE;"Test";50;50
21,6;345,2;187,2;-3,2;17,6;"c(2)";4,1;FALSE;"Test";50;33
2;334,3;173,2;-3,7;16,5;"c(3)";8;FALSE;"Test";50;33
7,8;320;168,2;-3,8;16,1;"c(4,1)";9,7;FALSE;"Test";20;14
-1,3;315,5;170,4;-4,4;16,6;"c(4,2)";14,1;FALSE;"Test";20;11
3,5;302,8;168;-3,7;16,4;"c(4,3)";12,1;FALSE;"Test";20;14
